,0,1,2,3,4,5,6,7,8
[0 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  0  1  0  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  1  0  0  0 -1  0],-0.17436396670740317,0.0,0.0,0.0,0.0,-0.2736592927438416,-0.05098060473774882,0.0,-0.2734296586383403
[-1 -1  1  1  1  0  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.999999610655954,0.110781109,0.0,0.0
[-1 -1  1  1  1 -1  0 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.9989999997764644,0.0,0.0
[0 0 0 1 0 0 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  1  0  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0 -1  1  1  1  0  0 -1  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1 -1  1  1  1  0  0 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-1 -1  1  1  1 -1  1 -1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  0  0 -1  0  0  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0 -1  0 -1  0  0  0  1],0.0,-0.29936059491486555,0.0,-0.17048945366317564,0.0,-0.3041258607663417,0.0,-0.24088771993572555,0.0
[ 1  0 -1  0 -1 -1  0  1  1],0.0,-0.21405781000000002,0.0,-0.008991,0.0,0.0,0.9999932303625217,0.0,0.0
[1 0 0 0 0 0 0 0 0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0  0  0 -1  0  0  0  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  0 -1  0 -1  0  0  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1  1 -1  0 -1 -1  0  1  1],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0  0 -1  0  0  0  1  0  0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
